Kingdom,Phylum,Class,Order,Family,Genus,Species,num_samples_pos,C-Lake-CTRL2,C-Lake-Samp2a,C-Lake-Samp2b,C-Lake-Samp2c,C-RN-CTRL3,C-RN-Samp3a,C-RN-Samp3b,C-RN-Samp3c,C-RS-S1-CTRL1,C-RS-S1-Samp1a,C-RS-S1-Samp1b,C-RS-S1-Samp1c,EB-LM,Neg-Chocorua,Ostrich-Chocorua,Pond-Joann-1-5,Pond-Joann-straight,C-XB-90min,Control-Below-Dam-90min,Control-Bridge-90min,Control-Dam-90min,Control-River-Delta-90min,Control-River-North-90min,HDAR-XB-3-90min,sample-1-Below-Dam-90min,sample-1-Bridge-90min,sample-1-Dam-90min,sample-1-River-Delta-90min,sample-1-River-North-90min,sample-2-Below-Dam-90min,sample-2-Bridge-90min,sample-2-Dam-90min,sample-2-River-Delta-90min,sample-2-River-North-90min,sample-3-Below-Dam-90min,sample-3-Bridge-90min,sample-3-Dam-90min,sample-3-River-Delta-90min,sample-3-River-North-90min,HDAR-XB-2-90min,HDAR-XB-1-90min,C-XB-overnight,Control-Below-Dam-overnight,Control-Bridge-overnight,Control-Dam-overnight,Control-River-Delta-overnight,Control-River-North-overnight,HDAR-XB-1-overnight,Neg-overnight,Ostrich-overnight,sample-1-Below-Dam-overnight,sample-1-Bridge-overnight,sample-1-Dam-overnight,sample-1-River-Delta-overnight,sample-1-River-North-overnight,sample-2-Below-Dam-overnight,sample-2-Bridge-overnight,sample-2-Dam-overnight,sample-2-River-Delta-overnight,sample-3-Below-Dam-overnight,sample-3-Bridge-overnight,sample-3-Dam-overnight,sample-3-River-Delta-overnight,sample-3-River-North-overnight
Eukaryota,Chordata,Actinopteri,Cyprinodontiformes,Fundulidae,Fundulus,Fundulus heteroclitus,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eukaryota,Chordata,Actinopteri,Centrarchiformes,Centrarchidae,Lepomis,Lepomis macrochirus,1,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eukaryota,Chordata,Actinopteri,Cypriniformes,Cyprinidae,Carassius,NA,9,0,0,0,0,0,2,4,2,0,1,5,2,0,0,5,335968,295917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eukaryota,Chordata,Actinopteri,Cypriniformes,Cyprinidae,Carassius,Carassius sp. 'Ginbuna',2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44209,813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eukaryota,Chordata,Actinopteri,Siluriformes,Ictaluridae,Ameiurus,Ameiurus nebulosus,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eukaryota,Chordata,Actinopteri,Cypriniformes,Catostomidae,Catostomus,Catostomus macrocheilus,7,0,262,0,0,0,0,0,0,0,474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2525,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2283,0,0,0,3329,0
Eukaryota,Chordata,Actinopteri,Salmoniformes,Salmonidae,Salvelinus,Salvelinus fontinalis,4,0,0,0,0,0,168850,156063,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eukaryota,Chordata,Actinopteri,Centrarchiformes,Centrarchidae,Lepomis,Lepomis gibbosus,1,0,0,0,0,0,0,0,0,0,0,0,508569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eukaryota,Chordata,Actinopteri,Cypriniformes,Catostomidae,Catostomus,Catostomus commersonii,18,0,377279,0,0,0,0,0,0,0,397142,0,1,0,21,0,1,0,0,0,0,0,0,0,0,0,0,0,6947,0,0,0,6204,12346,17651,0,0,0,20792,8992,0,0,0,0,0,0,0,0,0,0,0,0,12901,0,3794,19335,0,2714,0,7288,0,0,0,20851,18438
Eukaryota,Chordata,Actinopteri,Euteleosteomorpha,Sciaenidae,Sciaenops,Sciaenops ocellatus,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eukaryota,Chordata,Actinopteri,Centrarchiformes,Centrarchidae,Micropterus,NA,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7990,0,0,0,0,0,0,0,0,0,5031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eukaryota,Chordata,Actinopteri,Mugiliformes,Mugilidae,Mugil,Mugil cephalus,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20399,0,0,0,0,0,0,0,0,0,0,0,0,0
Eukaryota,Chordata,Actinopteri,Cypriniformes,Leuciscidae,Notemigonus,Notemigonus crysoleucas,4,0,0,0,0,0,17190,0,0,0,0,2,1,0,0,0,0,44117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eukaryota,Chordata,Actinopteri,Salmoniformes,Salmonidae,Salvelinus,Salvelinus leucomaenis,2,0,0,0,0,0,91,229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eukaryota,Chordata,Actinopteri,Centrarchiformes,Kuhliidae,Kuhlia,Kuhlia xenura,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eukaryota,Chordata,Actinopteri,NA,Sciaenidae,Sciaenops,Sciaenops ocellatus,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
